,cnn_v9_1e_6_18,cnn_v9_1e_6_99
accuracy,91.02322985539082,91.35802567680794
mse,12.210833333333333,11.563333333333333
mae,2.8016666666666667,2.6633333333333336
lower,0.2,0.1
upper,0.7000000000000001,0.7000000000000001
