,accuracy,mse,mae
count,45.0,45.0,45.0
mean,76.31572435194968,84.43922222222218,7.40074074074074
std,13.2790779934119,83.19309798674753,4.161060904135348
min,40.308482671682285,11.563333333333333,2.6633333333333336
25%,68.03507002502685,23.42,3.8133333333333335
50%,80.80939277437447,48.71666666666667,5.9366666666666665
75%,87.87912511723145,117.29,10.066666666666666
max,91.35802567680794,374.45,18.63
