,accuracy,mse,mae
count,45.0,45.0,45.0
mean,77.86648551623027,73.71911902957493,6.94630765385098
std,11.77144905073271,73.35910880678439,3.674089149355608
min,40.30848145484924,13.563396453857422,2.9058213233947754
25%,72.2957968711853,25.225095748901367,4.116703987121582
50%,81.45197629928589,46.41913604736328,5.875609397888184
75%,87.13321089744568,91.3597412109375,8.748332977294922
max,90.47720432281494,374.45001220703125,18.6299991607666
