,cnn_v9_1e_6_18,cnn_v9_1e_6_99
accuracy,90.94829893016617,91.35802567680794
mse,12.065833333333334,11.563333333333333
mae,2.7716666666666665,2.6633333333333336
lower,0.1,0.1
upper,0.9,0.7000000000000001
