,accuracy,mse,mae
count,66.0,66.0,66.0
mean,53.685975771631064,7218.645025252524,42.284343434343434
std,32.121650680191074,20022.933970527836,74.12567551925731
min,0.0,11.863333333333333,2.7716666666666665
25%,29.471864270787464,39.115208333333335,5.257083333333334
50%,62.834502458686146,151.29916666666668,11.426666666666666
75%,82.64118434252937,511.62833333333333,21.959166666666665
max,91.02322985539082,136163.91333333333,368.94
