,accuracy,mse,mae,lower,upper
0,0.0,135819.05666666667,368.47,0.0,0.0
1,0.0,35966.755,189.61,0.0,0.1
2,64.47644356653733,142.89,10.783333333333333,0.1,0.1
3,0.0,34731.20333333333,186.31666666666666,0.0,0.2
4,74.79352715423737,75.515,7.5633333333333335,0.1,0.2
5,83.77186364347354,34.59,4.816666666666666,0.2,0.2
6,0.0,33982.61083333333,184.29166666666666,0.0,0.30000000000000004
7,80.80939277437447,46.159166666666664,5.721666666666667,0.1,0.30000000000000004
8,88.0908644001317,19.4175,3.545,0.2,0.30000000000000004
9,89.9108312101942,14.566666666666666,3.08,0.30000000000000004,0.30000000000000004
10,0.0,33429.2475,182.77833333333334,0.0,0.4
11,84.78803415969858,30.699166666666667,4.5183333333333335,0.1,0.4
12,89.91594722217242,14.455833333333333,3.0483333333333333,0.2,0.4
13,90.07014618699762,15.891666666666667,3.1,0.30000000000000004,0.4
14,87.97750393281004,23.42,3.8133333333333335,0.4,0.4
15,0.0,32911.405,181.35,0.0,0.5
16,87.87912511723145,19.966666666666665,3.6033333333333335,0.1,0.5
17,90.52216742509843,13.748333333333333,2.94,0.2,0.5
18,88.52694652817495,21.2075,3.6483333333333334,0.30000000000000004,0.5
19,85.0348181610335,33.2725,4.7683333333333335,0.4,0.5
20,81.35310012710177,48.71666666666667,5.9366666666666665,0.5,0.5
21,0.0,32404.291666666668,179.94333333333333,0.0,0.6000000000000001
22,90.45738700765938,13.285,2.8666666666666667,0.1,0.6000000000000001
23,89.76245001096575,16.676666666666666,3.2466666666666666,0.2,0.6000000000000001
24,85.74824452428125,29.9625,4.541666666666667,0.30000000000000004,0.6000000000000001
25,81.51328082008627,46.33416666666667,5.871666666666667,0.4,0.6000000000000001
26,77.26759418370226,65.945,7.2,0.5,0.6000000000000001
27,72.75581401344029,88.61,8.583333333333334,0.6000000000000001,0.6000000000000001
28,0.0,31903.386666666665,178.54,0.0,0.7000000000000001
29,91.35802567680794,11.563333333333333,2.6633333333333336,0.1,0.7000000000000001
30,87.5071814951372,24.573333333333334,4.003333333333333,0.2,0.7000000000000001
31,81.88621915498055,43.8225,5.755,0.30000000000000004,0.7000000000000001
32,77.30853689008923,64.5375,7.181666666666667,0.4,0.7000000000000001
33,72.80525437441034,88.28,8.58,0.5,0.7000000000000001
34,68.18402975970392,114.985,9.986666666666666,0.6000000000000001,0.7000000000000001
35,63.61224550596757,146.63666666666666,11.39,0.7000000000000001,0.7000000000000001
36,0.0,31378.39,177.05333333333334,0.0,0.8
37,90.39783980984036,14.818333333333333,3.033333333333333,0.1,0.8
38,83.62763229174054,38.291666666666664,5.233333333333333,0.2,0.8
39,77.45014962324129,63.9325,7.151666666666666,0.30000000000000004,0.8
40,72.64023551611812,89.27416666666667,8.641666666666667,0.4,0.8
41,68.03507002502685,117.29,10.066666666666666,0.5,0.8
42,63.41384541032043,148.25166666666667,11.473333333333333,0.6000000000000001,0.8
43,58.84206115658408,184.285,12.876666666666667,0.7000000000000001,0.8
44,54.07187680720059,228.05,14.363333333333333,0.8,0.8
45,0.0,30631.78,174.92,0.0,0.9
46,86.81952901440667,26.365,4.223333333333334,0.1,0.9
47,77.23415545615701,64.665,7.24,0.2,0.9
48,70.67533553089453,99.39416666666666,9.258333333333333,0.30000000000000004,0.9
49,65.7683423699276,131.42583333333334,10.771666666666667,0.4,0.9
50,61.15337295726771,165.915,12.2,0.5,0.9
51,56.532148342561285,202.94,13.606666666666667,0.6000000000000001,0.9
52,51.96036408882494,245.26,15.01,0.7000000000000001,0.9
53,47.19017973944144,295.42833333333334,16.496666666666666,0.8,0.9
54,40.308482671682285,374.45,18.63,0.9,0.9
55,0.0,28509.294166666667,168.705,0.0,1.0
56,67.69901677509993,117.64916666666667,10.161666666666667,0.1,1.0
57,57.116951157352894,197.82083333333333,13.448333333333334,0.2,1.0
58,50.52109419505337,258.24333333333334,15.473333333333333,0.30000000000000004,1.0
59,45.61410103408646,309.49,16.986666666666668,0.4,1.0
60,40.999131621426564,362.22583333333336,18.415,0.5,1.0
61,36.37790700672014,417.07916666666665,19.821666666666665,0.6000000000000001,1.0
62,31.806122752983786,476.8275,21.225,0.7000000000000001,1.0
63,27.035938403600294,545.7825,22.711666666666666,0.8,1.0
64,20.154241335841142,651.5041666666667,24.845,0.9,1.0
65,0.0,1011.9133333333333,31.06,1.0,1.0
