,cnn_v9_1e_6_18,cnn_v9_1e_6_99
accuracy,92.00514554977417,91.07580780982971
mse,9.60681438446045,12.202677726745605
mae,2.4597673416137695,2.7358460426330566
lower,0.0,0.0
upper,0.9,0.5
