,cnn_v9_1e_6_18,cnn_v9_1e_6_99
accuracy,91.4033591747284,90.47720432281494
mse,10.760200500488281,13.563396453857422
mae,2.605663776397705,2.9058213233947754
lower,0.1,0.1
upper,0.6000000000000001,0.4
