,accuracy,mse,mae
count,66.0,66.0,66.0
mean,70.37641722144502,2198.695147976731,14.335944388851974
std,22.935462927481073,16744.808693790255,44.811850323631404
min,0.0,9.60681438446045,2.4597673416137695
25%,60.27857959270477,20.632375717163086,3.7038077116012573
50%,78.63811552524567,57.42170333862305,6.731418132781982
75%,88.16459029912949,171.60789108276367,12.428518772125244
max,92.00514554977417,136163.921875,368.94000244140625
